4/27/2012 7:30am,4/27/2012 8:30am,Main Room,Breakfast,
4/27/2012 8:30am,4/27/2012 9am,Main Room,Opening remarks,KCDC Leadership
4/27/2012 9am,4/27/2012 10am,Main Room,Keynode,Richard Campbell
4/27/2012 10:15am,4/27/2012 11:15am,Room 125, Agile Development Insider and Out,Phil Japikse
4/27/2012 10:15am,4/27/2012 11:15am,Room 130,Zen of Architecture,Patrick Liekhus
4/27/2012 10:15am,4/27/2012 11:15am,Room 135,Introduction to programming with the Kinect,Matt Bell
4/27/2012 10:15am,4/27/2012 11:15am,Room 120,Open Source RESTful Search: Solr,Scott Smerchek
4/27/2012 10:15am,4/27/2012 11:15am,Room 215,An Introduction to Reactive Extensions,Paul Betts
4/27/2012 10:15am,4/27/2012 11:15am,Room 235,Welcome to web development&mdash;again,Brian Wigfield
4/27/2012 11:30am,4/27/2012 12:30pm,Room 125,SpecFlow 101,Jon von Gillern
4/27/2012 11:30am,4/27/2012 12:30pm,Room 130,Exploring Domain Driven Design Implementation Patterns in .NET, Stephen Bohlen
4/27/2012 11:30am,4/27/2012 12:30pm,Room 135,Voice Controlled Home Automation with .NET, Jesse Phelps
4/27/2012 11:30am,4/27/2012 12:30pm,Room 120,Beyond Beta: What's Coming in Visual Studio 11,Mads Kristensen
4/27/2012 11:30am,4/27/2012 12:30pm,Room 215,Introduction to Clojure,Jim Duey
4/27/2012 11:30am,4/27/2012 12:30pm,Room 235,Introduction to Python,Andrew Schoen
4/27/2012 12:30pm,4/27/2012 2pm,Main Room,Lunch / Open Spaces,
4/27/2012 2pm,4/27/2012 3pm,Room 125,User Stories in the Real World,Martin A Olson,
4/27/2012 2pm,4/27/2012 3pm,Room 130,CQRS: Lessons Learned, Tyrone Groves
4/27/2012 2pm,4/27/2012 3pm,Room 135,Getting to the Point with Sinatra,Darren Cauthon
4/27/2012 2pm,4/27/2012 3pm,Room 120,Troubleshooting Software in Production,Patrick Delancy
4/27/2012 2pm,4/27/2012 3pm,Room 215,Building a Solution Brick by Brick,Becky Isserman
4/27/2012 2pm,4/27/2012 3pm,Room 235,jQuery on the Go,Kevin Griffin
4/27/2012 3:15pm,4/27/2012 4:15pm,Room 125,De-suckifying Scrum,Philip Ledgerwood
4/27/2012 3:15pm,4/27/2012 4:15pm,Room 130,Demystifying Aspect-Oriented Programming; Help you've got your aspects in my Objects!,Nicholas Cloud
4/27/2012 3:15pm,4/27/2012 4:15pm,Room 135,The Nancy Micro Web Framework,Nicolas Cloud
4/27/2012 3:15pm,4/27/2012 4:15pm,Room 120,Android Scripting: A Java-less approach to building apps,Juan Gomez
4/27/2012 3:15pm,4:15pm,Room 215,MVC: Creating your first application,Shawn Mehaffie
4/27/2012 3:15pm,4:15pm,Room 235,Architecting Scalable Applications in the Cloud,Clint Edmonson
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 125,Improving the Java & .Net Developer Collaboration,Jeff Fattic
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 130,Caliburn.Micro.Awesome,Adam Barney
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 135,Out of the GATE with OWIN,Dusty Burwell
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 120,Lessons Learned from a Decade of Independence,Michael Eaton
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 215,Intro to Hosting ASP.NET MVC on Linux with Mono for Windows Developers,Nathhan Bridgewater
4/27/2012 4:30pm,4/27/2012 5:30pm,Room 235,Intro to Ruby,Darren Cauthon
4/27/2012 7pm,4/27/2012 10pm,Mosaic in Power &amp; Light,Reception sponsored by Perceptive Software,
4/28/2012 7:30am,4/27/2012 8:30am,Main Room,Breakfast,
4/28/2012 8:45am,4/28/2012 9:45am,Room 125,Done and Other Four Letter Words,David Stanley
4/28/2012 8:45am,4/28/2012 9:45am,Room 130,Introduction to Service-Oriented Architecture,Jay Ashbaugh
4/28/2012 8:45am,4/28/2012 9:45am,Room 135,Experience the Tasty Goodness of Guava,Jessica Kerr
4/28/2012 8:45am,4/28/2012 9:45am,Room 120,Clean Code&mdash;Writing code for humans,Cory House
4/28/2012 8:45am,4/28/2012 9:45am,Room 215,Get a Job!,James Eggers
4/28/2012 8:45am,4/28/2012 9:45am,Room 235,Epic SharePoint Battle: HTML5 vs. Silverlight,Becky Isserman
4/28/2012 10am,4/28/2012 11am,Room 125,Behavior Driven Dvelopment: Turning User Stories into Executable Specifications,Stephen Bohlen
4/28/2012 10am,4/28/2012 11am,Room 130,Peering Through the Clouds,Clint Edmonson
4/28/2012 10am,4/28/2012 11am,Room 135,Getting Started with SignalR,Kevin Griffin
4/28/2012 10am,4/28/2012 11am,Room 120,What's new in TFS 2011, John Alexander
4/28/2012 10am,4/28/2012 11am,Room 215,(re)Introduction "Native" Programming,Michael Price
4/28/2012 10am,4/28/2012 11am,Room 235,XAML: Not as hard as you think,Michael Eaton
4/28/2012 11:15am,4/28/2012 12:15pm,Room 125,Software Quality is Everyone's Responsibility,Jeff Fattic
4/28/2012 11:15am,4/28/2012 12:15pm,Room 130,From the steps of the Ivory Tower,Adam Barney
4/28/2012 11:15am,4/28/2012 12:15pm,Room 135,Akavach: An asynchronous key-value store for native apps,Paul Betts
4/28/2012 11:15am,4/28/2012 12:15pm,Room 120,Git More Done,Keight Dahlby
4/28/2012 11:15am,4/28/2012 12:15pm,Room 215,Introduction to CoffeeScript,Nicholas Cloud
4/28/2012 11:15am,4/28/2012 12:15pm,Room 235,Grid Display Tactics with MVC & jQuery,Gus Emery
4/28/2012 12:15pm,4/28/2012 1:15pm,Main Room,Lunch / Open Spaces,,,,,
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 125,Lessons Learned: Being Agile in a Waterfall World,Philip Japikse
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 130,Building Secure Web Applications,Cory House
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 135,Android: Where You Can Stick Your Data,Jessica Kerr
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 120,Automated Testing&comma; but like for Powershell,Rob Reynolds
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 215,Bring Order to Chaos&comma;Visualize your work stream with Kanban,Jonathan Mills
4/28/2012 1:15pm,4/28/2012 2:15pm,Room 235,Grid Display Tactics with MVC & jQuery,Gus Emery
4/28/2012 2:30pm,4/28/2012 3:30pm,Room 125,cernerhealthwins.com - A website that got a community to live healthier,Sam Bao
4/28/2012 2:30pm,4/28/2012 3:30pm,Room 130,Enterprise Scalability,George Westwater
4/28/2012 2:30pm,4/28/2012 3:30pm,Room 135,What makes a Strong platform,Brian Anderson
4/28/2012 2:30pm,4/28/2012 3:30pm,Room 120,Chrome Dev Tools,
